# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	1399
#@/user_id	dbd326d9-8c0c-4563-98a1-84f322e53644
jiang 	将	c=11 d=8.75544 t=1399
jiao ben 	脚本	c=2 d=1.6198 t=1399
jiao cheng 	教程	c=3 d=2.23301 t=1399
jie jue 	解决	c=1 d=0.737123 t=1399
jie mian 	界面	c=3 d=2.16262 t=1399
jie ru 	接入	c=1 d=0.970446 t=1399
jie shao 	介绍	c=1 d=0.951229 t=1399
jie tou 	街头	c=0 d=0.0937067 t=1399
jie ya 	解压	c=2 d=1.48455 t=1399
jin xing 	进行	c=1 d=0.951229 t=1399
jing ran 	竟然	c=1 d=0.97531 t=1399
jiu 	就	c=4 d=2.94618 t=1399
jiu neng 	就能	c=1 d=0.918512 t=1399
jiu shi 	就是	c=1 d=0.946485 t=1399
jiu xing 	就行	c=2 d=1.56615 t=1399
ju ti 	具体	c=3 d=2.50615 t=1399
kai 	开	c=1 d=0.995012 t=1399
kai ji 	开机	c=1 d=0.932394 t=1399
kai yuan 	开源	c=1 d=0.895834 t=1399
kan bu dao 	看不到	c=1 d=0.88692 t=1399
kan zhe 	看着	c=1 d=0.895834 t=1399
ke hu duan 	客户端	c=1 d=0.995012 t=1399
ke shi hua 	可视化	c=4 d=3.63427 t=1399
ke yi 	可以	c=19 d=8.21503 t=1399
kong zhi 	控制	c=1 d=0.995012 t=1399
ku 	库	c=1 d=0.927743 t=1399
kuai jie 	快捷	c=1 d=0.995012 t=1399
kuai jie jian 	快捷键	c=1 d=0.97531 t=1399
kuang jia 	框架	c=1 d=0.995012 t=1399
kuang ke 	旷课	c=0 d=0.0937067 t=1399
lai 	来	c=4 d=2.9538 t=1399
lan ya 	蓝牙	c=1 d=0.97531 t=1399
le 	了	c=10 d=4.33627 t=1399
li mian 	里面	c=9 d=4.26604 t=1399
lian jie 	连接	c=1 d=0.927743 t=1399
lian jie 	链接	c=1 d=0.970446 t=1399
liu lan qi zhong 	浏览器中	c=1 d=0.97531 t=1399
ma 	吗	c=15 d=6.84959 t=1399
mei 	没	c=3 d=2.0891 t=1399
mei ci 	每次	c=1 d=0.923116 t=1399
mei fan ying 	没反应	c=1 d=0.946485 t=1399
mei hua 	美化	c=3 d=2.04612 t=1399
mei ti 	媒体	c=1 d=0.802519 t=1399
mei you 	没有	c=6 d=3.90227 t=1399
meng xiang 	梦想	c=1 d=0.873716 t=1399
mian 	面	c=0 d=0.0937067 t=1399
mian ban 	面板	c=1 d=1 t=1399
mian kuang ke 	面旷课	c=1 d=0.941765 t=1399
ming bai 	明白	c=1 d=0.814647 t=1399
ming cheng 	名称	c=1 d=1 t=1399
ming ling 	命令	c=12 d=5.01803 t=1399
ming ling hang 	命令行	c=3 d=2.81212 t=1399
mo ren 	默认	c=3 d=2.37691 t=1399
mou di 	某地	c=0 d=0.097531 t=1399
mu lu 	目录	c=1 d=0.814647 t=1399
na li 	那里	c=1 d=0.99005 t=1399
nei rong 	内容	c=5 d=4.75399 t=1399
ni men 	你们	c=1 d=0.913931 t=1399
pan 	盘	c=2 d=1.75628 t=1399
pei zhi 	配置	c=17 d=9.53771 t=1399
pei zhi hao 	配置好	c=1 d=0.839457 t=1399
pi pi xia 	皮皮虾	c=1 d=0.909373 t=1399
pu tong 	普通	c=1 d=0.923116 t=1399
qi dong 	启动	c=4 d=3.25114 t=1399
qian duan 	前端	c=1 d=0.985112 t=1399
qian shao 	前哨	c=1 d=0.99005 t=1399
qie huan 	切换	c=4 d=2.46829 t=1399
qing chu 	清楚	c=1 d=0.806541 t=1399
qing kuang 	情况	c=1 d=0.995012 t=1399
qing xi du 	清晰度	c=1 d=0.941765 t=1399
qu 	去	c=1 d=0.946485 t=1399
qu bie 	区别	c=1 d=0.882497 t=1399
que ren 	确认	c=2 d=1.49186 t=1399
que shi 	确实	c=1 d=0.752014 t=1399
que shi 	缺失	c=1 d=0.755784 t=1399
ran hou 	然后	c=6 d=4.02874 t=1399
ran zang 	然脏	c=1 d=0.985112 t=1399
ri zhi 	日志	c=1 d=0.985112 t=1399
rong liang 	容量	c=1 d=1 t=1399
ru guo 	如果	c=4 d=2.75679 t=1399
ru he 	如何	c=9 d=4.54126 t=1399
ruan jian 	软件	c=7 d=4.54218 t=1399
ruan lu you 	软路由	c=1 d=0.955997 t=1399
shan chu 	删除	c=1 d=0.891366 t=1399
shan shuo 	闪烁	c=1 d=0.923116 t=1399
shang 	上	c=5 d=3.34128 t=1399
shang mian 	上面	c=6 d=4.11587 t=1399
she zhi 	设置	c=2 d=1.62444 t=1399
shen me 	什么	c=15 d=6.59938 t=1399
sheng cheng 	生成	c=1 d=0.970446 t=1399
sheng yin 	声音	c=7 d=4.1888 t=1399
shi 	是	c=18 d=10.1575 t=1399
shi bai 	失败	c=1 d=0.860708 t=1399
shi bu shi 	是不是	c=2 d=1.27076 t=1399
shi ce 	实测	c=1 d=0.818731 t=1399
shi fou 	是否	c=1 d=0.895834 t=1399
shi hou 	时候	c=3 d=2.04869 t=1399
shi jian 	事件	c=1 d=0.860708 t=1399
shi pin 	视频	c=4 d=3.26109 t=1399
shi shi 	实时	c=1 d=0.951229 t=1399
shi si 	誓死	c=1 d=0.99005 t=1399
shi xian 	实现	c=2 d=1.71245 t=1399
shi yong 	使用	c=11 d=6.88429 t=1399
shou dong 	手动	c=1 d=0.847894 t=1399
shu ru 	输入	c=1 d=0.923116 t=1399
shu ru fa 	输入法	c=3 d=2.41558 t=1399
shu ru fa gan jue 	输入法感觉	c=1 d=0.995012 t=1399
shu ru kou 	输入口	c=1 d=0.927743 t=1399
shuang pin 	双拼	c=1 d=0.909373 t=1399
shun xu 	顺序	c=1 d=1 t=1399
shuo ming 	说明	c=1 d=0.869358 t=1399
si hu 	似乎	c=1 d=0.951229 t=1399
sou suo 	搜索	c=2 d=1.86993 t=1399
sui ji 	随机	c=3 d=2.37764 t=1399
sui ran 	虽然	c=1 d=0.913931 t=1399
suo xiao 	缩小	c=2 d=1.99005 t=1399
suo you 	所有	c=1 d=0.965605 t=1399
tai shi ji 	台式机	c=1 d=0.873716 t=1399
tan chuang 	弹窗	c=1 d=0.955997 t=1399
tian jia 	添加	c=1 d=0.955997 t=1399
tiao jie 	调节	c=3 d=2.13355 t=1399
ting qi lai 	听起来	c=1 d=0.995012 t=1399
ting shuo 	听说	c=3 d=2.56638 t=1399
tong guo 	通过	c=1 d=0.831104 t=1399
tong yi ge 	同一个	c=2 d=1.70899 t=1399
tu biao 	图标	c=1 d=0.895834 t=1399
tu pian 	图片	c=1 d=0.970446 t=1399
tui jian 	推荐	c=2 d=1.8883 t=1399
wang ye 	网页	c=1 d=0.965605 t=1399
wang yi 	网易	c=1 d=1 t=1399
wang yi yun 	网易云	c=3 d=2.75847 t=1399
wei 	为	c=1 d=0.733447 t=1399
wei ruan 	微软	c=1 d=0.951229 t=1399
wei shen me 	为什么	c=3 d=2.20556 t=1399
wei xin 	微信	c=1 d=0.937067 t=1399
wen dang 	文档	c=2 d=1.60967 t=1399
wen jian 	文件	c=12 d=5.94501 t=1399
wen ti 	问题	c=5 d=3.62773 t=1399
wen zhang 	文章	c=2 d=1.77383 t=1399
wo 	我	c=2 d=1.8781 t=1399
wo xiang 	我想	c=1 d=0.839457 t=1399
xi tong 	系统	c=4 d=2.77369 t=1399
xia 	下	c=2 d=1.69297 t=1399
xia ci 	下次	c=1 d=0.97531 t=1399
xia mian 	下面	c=11 d=5.65749 t=1399
xia zai 	下载	c=1 d=0.847894 t=1399
xian 	先	c=2 d=1.64979 t=1399
xian mu 	羡慕	c=1 d=0.774916 t=1399
xian zai 	现在	c=2 d=1.90823 t=1399
xiang 	想	c=2 d=1.60226 t=1399
xiang gang 	香港	c=1 d=0.980199 t=1399
xiang guan 	相关	c=8 d=5.91106 t=1399
xiang mu 	项目	c=2 d=1.99005 t=1399
xiang shi 	像是	c=1 d=0.900325 t=1399
xiao 	小	c=0 d=0.097531 t=1399
xiao he 	小鹤	c=1 d=0.904837 t=1399
xiao mou di 	小某地	c=1 d=0.980199 t=1399
xie zai 	卸载	c=1 d=0.748264 t=1399
xing cun zhe 	幸存者	c=1 d=0.904837 t=1399
xiu gai 	修改	c=4 d=3.09434 t=1399
xiu mian 	休眠	c=1 d=0.847894 t=1399
xu yao 	需要	c=6 d=3.51869 t=1399
ya zui shou 	鸭嘴兽	c=2 d=1.89776 t=1399
yan dan 	烟弹	c=1 d=0.985112 t=1399
yan you 	烟油	c=1 d=0.995012 t=1399
yao 	要	c=1 d=0.985112 t=1399
ye yao 	也要	c=1 d=0.970446 t=1399
yi dong 	移动	c=1 d=1 t=1399
yi ge 	一个	c=3 d=2.53801 t=1399
yi ji 	以及	c=3 d=2.28396 t=1399
yi jing 	已经	c=1 d=0.965605 t=1399
yi lai 	依赖	c=3 d=2.04473 t=1399
yi min 	移民	c=1 d=0.995012 t=1399
yi si 	意思	c=3 d=2.53193 t=1399
yi xie 	一些	c=1 d=0.913931 t=1399
yin bo 	音波	c=1 d=0.955997 t=1399
yin liang 	音量	c=4 d=3.15911 t=1399
yin pin 	音频	c=4 d=3.61615 t=1399
yin yong 	引用	c=1 d=0.985112 t=1399
yin yue 	音乐	c=2 d=1.74576 t=1399
ying gai 	应该	c=2 d=1.85076 t=1399
ying guo 	英国	c=1 d=1 t=1399
ying pan 	硬盘	c=3 d=2.35701 t=1399
ying she 	映射	c=1 d=0.99005 t=1399
yong 	用	c=2 d=1.75007 t=1399
yong de 	用的	c=1 d=0.873716 t=1399
yong hu 	用户	c=3 d=2.49006 t=1399
you 	友	c=1 d=0.891366 t=1399
you 	有	c=14 d=5.74912 t=1399
you de 	有的	c=1 d=0.882497 t=1399
you dian 	有点	c=2 d=1.84177 t=1399
you ge 	有个	c=1 d=0.891366 t=1399
you ya 	优雅	c=1 d=0.839457 t=1399
you yong 	有用	c=1 d=0.822835 t=1399
you zai 	有在	c=1 d=0.900325 t=1399
yu 	与	c=1 d=0.937067 t=1399
yuan 	源	c=2 d=1.87416 t=1399
yuan cheng 	远程	c=1 d=0.99005 t=1399
yuan lai 	原来	c=1 d=0.895834 t=1399
yuan you 	原有	c=1 d=0.937067 t=1399
yuan you 	缘由	c=2 d=1.86013 t=1399
yue ke 	悦刻	c=2 d=1.88957 t=1399
yun xing 	运行	c=5 d=4.04699 t=1399
zai 	再	c=1 d=0.865022 t=1399
zai 	在	c=7 d=5.20694 t=1399
zan shi 	暂时	c=1 d=0.918512 t=1399
zen me 	怎么	c=3 d=2.43965 t=1399
zhan shi 	展示	c=2 d=1.77856 t=1399
zhang jie 	章节	c=2 d=1.71755 t=1399
zhe 	这	c=2 d=1.4762 t=1399
zhe ge 	这个	c=16 d=8.01408 t=1399
zhe ji ge 	这几个	c=1 d=0.891366 t=1399
zhe xie 	这些	c=2 d=1.39049 t=1399
zheng chang 	正常	c=1 d=0.99005 t=1399
zheng li 	整理	c=2 d=1.84522 t=1399
zhi chi 	支持	c=1 d=0.995012 t=1399
zhi de 	值得	c=1 d=0.946485 t=1399
zhi jie 	直接	c=3 d=2.05597 t=1399
zhi xing 	执行	c=6 d=4.46746 t=1399
zhong 	中	c=5 d=3.30236 t=1399
zhong duan 	终端	c=2 d=1.94575 t=1399
zhu 	主	c=1 d=0.869358 t=1399
zhu shi 	注释	c=1 d=0.814647 t=1399
zhuang tai 	状态	c=1 d=0.955997 t=1399
zi dong 	自动	c=4 d=3.50753 t=1399
zi ji 	自己	c=1 d=0.99005 t=1399
zi ti 	字体	c=5 d=3.82007 t=1399
zi yuan 	资源	c=2 d=1.79643 t=1399
zu jian 	组件	c=1 d=0.923116 t=1399
zu jian ku 	组件库	c=2 d=1.898 t=1399
zui 	最	c=1 d=0.941765 t=1399
zui hou 	最后	c=1 d=0.895834 t=1399
zuo wei 	作为	c=4 d=3.59921 t=1399
zuo yong 	作用	c=4 d=2.81767 t=1399
